#repetition,Consumer0,Consumer1,Consumer2,Consumer3,Consumer4,Consumer5,Consumer6,Consumer7,Consumer8,Consumer9,Consumer10,Consumer11,Consumer12,Consumer13,Consumer14,Consumer15,Consumer16,Consumer17,Consumer18,Consumer19,Consumer20,Consumer21,Consumer22,Consumer23,Consumer24,Consumer25,Consumer26,Consumer27,Consumer28,Consumer29,Consumer30,Consumer31,Consumer32,Consumer33,Consumer34,Consumer35,Consumer36,Consumer37,Consumer38,Consumer39,Consumer40,Consumer41,Consumer42,Consumer43,Consumer44,Consumer45,Consumer46,Consumer47,Consumer48,Consumer49
104,2,3,3,3,3,2,2,3,2,3,2,3,3,2,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3
105,3,3,3,3,3,3,1,3,1,3,3,3,3,3,2,3,3,3,3,3,2,2,3,1,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3
106,3,2,2,3,3,3,0,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
107,3,3,3,2,2,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3
108,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,3,3,3,1,3,3,3,3,3
109,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,2,2,2
110,2,3,2,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,1
111,3,3,3,3,3,2,3,3,2,1,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,1,3,3,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3
112,3,3,2,3,3,3,3,3,3,0,2,2,3,3,3,1,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,2,2,3,3,3
113,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,0,3,2,3,3,3,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,2,2,3,2,3,3,1,3,3,3
114,2,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,2,3,3,1,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
115,1,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3
116,0,3,3,3,3,2,3,1,2,3,3,2,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,2,1,3,3,3,2,3,3,3,3,3,3
117,0,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,2,1,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
118,3,3,2,3,3,3,3,3,2,2,3,2,3,2,3,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,3,3,3,2
119,3,3,3,3,3,3,3,3,1,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,2,0,3,3,3,2,3,2,3,2,3
120,3,3,3,3,3,3,3,2,0,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,1,3,3,1,3,2,3,3,3,3,1,3,0,3,2,3,3,3,3,3,3,3
121,3,3,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,2,2,2,3,2,3,3,3,0,3,3,3,3,3,3,3,3,0,2,3,3,3,2,3,3,3,2
122,3,3,3,3,2,3,1,3,2,3,3,2,2,3,3,2,3,3,3,2,3,3,3,3,1,3,3,1,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
123,3,3,3,3,1,2,3,2,3,3,3,3,1,2,3,3,3,3,3,1,3,3,3,2,3,2,3,3,3,2,2,3,3,3,1,1,3,3,2,3,2,3,3,3,3,3,3,3,3,3
124,2,3,3,3,3,3,2,3,2,3,3,2,0,1,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,3,2,3,3,0,3,2,3,3,3,3,3,3,3,2,3,3,3,3
125,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3
126,3,3,3,3,3,2,3,3,2,3,3,3,2,2,2,3,2,3,2,3,3,3,3,3,0,3,3,3,3,3,3,2,3,2,3,2,3,2,3,3,3,2,2,3,3,2,3,3,3,2
127,3,3,3,3,3,3,3,2,3,3,3,3,3,1,1,3,3,3,3,2,3,3,2,3,0,2,2,3,3,2,3,3,3,3,3,1,3,3,3,3,2,3,3,3,2,3,3,3,3,3
128,3,3,2,3,3,2,3,1,2,3,3,3,3,3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3
129,3,3,3,3,2,3,2,3,1,3,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,2
130,3,3,3,3,1,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,2,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
